"InstanceName","TimeStamp","ComputerName","PercentRunTime"
"_total","10/13/2015 9:27:56 AM","cl-hyperv1","24.7904333282851"
"_total","10/13/2015 9:28:01 AM","cl-hyperv2","20.4015843181251"
"_total","10/13/2015 9:28:06 AM","cl-hyperv3","40.8088087979353"
"_total","10/13/2015 9:28:10 AM","cl-hyperv4","5.65905283629573"
"_total","10/13/2015 9:28:15 AM","cl-hyperv5","3.0496717939338"
"_total","10/13/2015 9:28:19 AM","cl-hyperv6","56.6496101798397"
"_total","10/13/2015 9:29:33 AM","cl-hyperv1","11.564894482"
"_total","10/13/2015 9:29:38 AM","cl-hyperv2","7.85685339711204"
"_total","10/13/2015 9:29:42 AM","cl-hyperv3","31.2369763413042"
"_total","10/13/2015 9:29:47 AM","cl-hyperv4","2.42969512446243"
"_total","10/13/2015 9:29:51 AM","cl-hyperv5","10.0523702641906"
"_total","10/13/2015 9:29:56 AM","cl-hyperv6","35.21206476189"
"_total","10/13/2015 9:33:16 AM","cl-hyperv1","28.2270687139704"
"_total","10/13/2015 9:33:21 AM","cl-hyperv2","13.473683799102"
"_total","10/13/2015 9:33:26 AM","cl-hyperv3","40.2723187477784"
"_total","10/13/2015 9:33:31 AM","cl-hyperv4","4.49125152056587"
"_total","10/13/2015 9:33:35 AM","cl-hyperv5","8.60538741238351"
"_total","10/13/2015 9:33:40 AM","cl-hyperv6","25.4378097701818"
"_total","10/14/2015 8:36:50 AM","cl-hyperv1","10.3806734657457"
"_total","10/14/2015 8:36:55 AM","cl-hyperv2","4.5254472221706"
"_total","10/14/2015 8:36:59 AM","cl-hyperv3","11.3864323332883"
"_total","10/14/2015 8:37:04 AM","cl-hyperv4","6.27484701260091"
"_total","10/14/2015 8:37:09 AM","cl-hyperv5","3.5303006631817"
"_total","10/14/2015 8:37:13 AM","cl-hyperv6","36.7233832338123"
"_total","10/14/2015 8:38:31 AM","cl-hyperv1","14.8130317463576"
"_total","10/14/2015 8:38:35 AM","cl-hyperv2","5.95319437953299"
"_total","10/14/2015 8:38:40 AM","cl-hyperv3","12.5872763159338"
"_total","10/14/2015 8:38:44 AM","cl-hyperv4","2.0096624159557"
"_total","10/14/2015 8:38:48 AM","cl-hyperv5","7.70891394253845"
"_total","10/14/2015 8:38:53 AM","cl-hyperv6","22.5742188827663"
